customer_id,city
1,Bengaluru
2,Bengaluru
3,Delhi
4,Mumbai
5,Mumbai
6,Mumbai
7,Bengaluru
8,Hyderabad
9,Bengaluru
10,Hyderabad
11,Pune
12,Bengaluru
13,Bengaluru
14,Bengaluru
15,Mumbai
16,Mumbai
17,Hyderabad
18,Hyderabad
19,Bengaluru
20,Hyderabad
21,Mumbai
22,Hyderabad
23,Pune
24,Mumbai
25,Pune
26,Hyderabad
27,Delhi
28,Bengaluru
29,Mumbai
30,Pune
31,Delhi
32,Delhi
33,Mumbai
34,Mumbai
35,Delhi
36,Bengaluru
37,Bengaluru
38,Pune
39,Bengaluru
40,Delhi
41,Delhi
42,Hyderabad
43,Delhi
44,Bengaluru
45,Pune
46,Hyderabad
47,Bengaluru
48,Pune
49,Bengaluru
50,Hyderabad
51,Delhi
52,Hyderabad
53,Delhi
54,Hyderabad
55,Mumbai
56,Bengaluru
57,Bengaluru
58,Mumbai
59,Delhi
60,Bengaluru
61,Mumbai
62,Bengaluru
63,Pune
64,Delhi
65,Pune
66,Delhi
67,Mumbai
68,Delhi
69,Delhi
70,Mumbai
71,Delhi
72,Bengaluru
73,Hyderabad
74,Mumbai
75,Hyderabad
76,Mumbai
77,Mumbai
78,Pune
79,Pune
80,Delhi
81,Hyderabad
82,Mumbai
83,Delhi
84,Bengaluru
85,Mumbai
86,Bengaluru
87,Delhi
88,Pune
89,Delhi
90,Bengaluru
91,Mumbai
92,Hyderabad
93,Delhi
94,Mumbai
95,Pune
96,Pune
97,Pune
98,Mumbai
99,Delhi
100,Mumbai
101,Mumbai
102,Hyderabad
103,Hyderabad
104,Delhi
105,Hyderabad
106,Pune
107,Hyderabad
108,Pune
109,Delhi
110,Mumbai
111,Mumbai
112,Hyderabad
113,Pune
114,Bengaluru
115,Bengaluru
116,Bengaluru
117,Mumbai
118,Mumbai
119,Pune
120,Hyderabad
121,Bengaluru
122,Pune
123,Pune
124,Hyderabad
125,Pune
126,Hyderabad
127,Delhi
128,Hyderabad
129,Bengaluru
130,Bengaluru
131,Hyderabad
132,Delhi
133,Delhi
134,Bengaluru
135,Delhi
136,Pune
137,Mumbai
138,Pune
139,Bengaluru
140,Delhi
141,Hyderabad
142,Mumbai
143,Hyderabad
144,Bengaluru
145,Delhi
146,Hyderabad
147,Hyderabad
148,Mumbai
149,Mumbai
150,Delhi
151,Mumbai
152,Hyderabad
153,Hyderabad
154,Bengaluru
155,Hyderabad
156,Delhi
157,Pune
158,Bengaluru
159,Bengaluru
160,Delhi
161,Delhi
162,Mumbai
163,Bengaluru
164,Mumbai
165,Hyderabad
166,Bengaluru
167,Bengaluru
168,Pune
169,Bengaluru
170,Hyderabad
171,Mumbai
172,Mumbai
173,Pune
174,Hyderabad
175,Mumbai
176,Delhi
177,Hyderabad
178,Hyderabad
179,Pune
180,Mumbai
181,Hyderabad
182,Mumbai
183,Delhi
184,Pune
185,Delhi
186,Pune
187,Hyderabad
188,Pune
189,Bengaluru
190,Mumbai
191,Mumbai
192,Bengaluru
193,Delhi
194,Bengaluru
195,Hyderabad
196,Hyderabad
197,Mumbai
198,Hyderabad
199,Mumbai
200,Bengaluru
201,Bengaluru
202,Bengaluru
203,Mumbai
204,Bengaluru
205,Bengaluru
206,Delhi
207,Bengaluru
208,Hyderabad
209,Mumbai
210,Delhi
211,Pune
212,Mumbai
213,Hyderabad
214,Mumbai
215,Hyderabad
216,Hyderabad
217,Pune
218,Mumbai
219,Pune
220,Pune
221,Mumbai
222,Bengaluru
223,Bengaluru
224,Pune
225,Delhi
226,Pune
227,Pune
228,Pune
229,Bengaluru
230,Bengaluru
231,Bengaluru
232,Pune
233,Delhi
234,Bengaluru
235,Mumbai
236,Mumbai
237,Mumbai
238,Hyderabad
239,Pune
240,Mumbai
241,Pune
242,Mumbai
243,Delhi
244,Pune
245,Mumbai
246,Bengaluru
247,Pune
248,Hyderabad
249,Bengaluru
250,Bengaluru
251,Hyderabad
252,Bengaluru
253,Bengaluru
254,Mumbai
255,Mumbai
256,Pune
257,Pune
258,Pune
259,Mumbai
260,Pune
261,Bengaluru
262,Mumbai
263,Pune
264,Bengaluru
265,Pune
266,Delhi
267,Pune
268,Delhi
269,Pune
270,Hyderabad
271,Pune
272,Mumbai
273,Mumbai
274,Delhi
275,Mumbai
276,Bengaluru
277,Hyderabad
278,Hyderabad
279,Bengaluru
280,Delhi
281,Bengaluru
282,Bengaluru
283,Hyderabad
284,Pune
285,Hyderabad
286,Hyderabad
287,Mumbai
288,Bengaluru
289,Hyderabad
290,Bengaluru
291,Mumbai
292,Bengaluru
